event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Accepted-In Progress,complete,Daniel-Org line A2,2012-04-11 17:37:55+03:00,Accepted-In Progress,Daniel,Org line A2,1-514832700,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Daniel-Org line A2,2012-04-11 17:37:59+03:00,Completed-Closed,Daniel,Org line A2,1-514832700,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Roland-Org line G4,2011-04-11 16:56:28+03:00,Accepted-In Progress,Roland,Org line G4,1-515461174,Variant 14,14,Fluxicon Disco
Accepted-Assigned,complete,Roland-Org line G4,2011-12-13 11:21:26+02:00,Accepted-Assigned,Roland,Org line G4,1-515461174,Variant 14,14,Fluxicon Disco
Accepted-Wait,complete,Roland-Org line G4,2012-02-08 23:09:00+02:00,Accepted-Wait,Roland,Org line G4,1-515461174,Variant 14,14,Fluxicon Disco
Completed-Closed,complete,Roland-Org line G4,2012-03-26 10:27:45+03:00,Completed-Closed,Roland,Org line G4,1-515461174,Variant 14,14,Fluxicon Disco
Accepted-In Progress,complete,Nigel-Org line C,2011-04-11 22:53:58+03:00,Accepted-In Progress,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Nigel-Org line C,2011-04-14 18:44:52+03:00,Queued-Awaiting Assignment,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Nigel-Org line C,2012-02-15 12:58:47+02:00,Accepted-In Progress,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Nigel-Org line C,2012-02-15 13:01:31+02:00,Completed-Closed,Nigel,Org line C,1-515617964,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Pawel-Org line A2,2011-04-12 13:53:10+03:00,Accepted-In Progress,Pawel,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-Wait,complete,Pawel-Org line A2,2011-04-12 13:59:32+03:00,Accepted-Wait,Pawel,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-Assigned,complete,Pawel-Org line A2,2011-07-04 12:41:45+03:00,Accepted-Assigned,Pawel,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-In Progress,complete,Tomasz-Org line A2,2011-07-28 16:43:00+03:00,Accepted-In Progress,Tomasz,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-In Progress,complete,Tomasz-Org line A2,2011-08-29 17:16:58+03:00,Accepted-In Progress,Tomasz,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-Assigned,complete,Kamil-Org line A2,2011-10-20 11:17:17+03:00,Accepted-Assigned,Kamil,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-In Progress,complete,Kamil-Org line A2,2011-11-16 13:11:15+02:00,Accepted-In Progress,Kamil,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-Wait,complete,Kamil-Org line A2,2011-11-16 13:11:32+02:00,Accepted-Wait,Kamil,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-In Progress,complete,Kamil-Org line A2,2011-11-29 15:19:41+02:00,Accepted-In Progress,Kamil,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-Wait,complete,Kamil-Org line A2,2011-12-13 15:43:10+02:00,Accepted-Wait,Kamil,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Completed-Closed,complete,Kamil-Org line A2,2012-02-23 10:03:18+02:00,Completed-Closed,Kamil,Org line A2,1-515834995,Variant 156,156,Fluxicon Disco
Accepted-In Progress,complete,Ing-Marie-Org line G4,2011-04-12 15:24:13+03:00,Accepted-In Progress,Ing-Marie,Org line G4,1-515873671,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ing-Marie-Org line G4,2011-04-12 15:24:29+03:00,Queued-Awaiting Assignment,Ing-Marie,Org line G4,1-515873671,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Suresh-Org line G4,2012-01-23 16:42:08+02:00,Accepted-In Progress,Suresh,Org line G4,1-515873671,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-01-23 17:04:38+02:00,Queued-Awaiting Assignment,Peter,Org line C,1-515873671,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-01-27 17:01:45+02:00,Accepted-In Progress,Peter,Org line C,1-515873671,Variant 11,11,Fluxicon Disco
Completed-Closed,complete,Peter-Org line C,2012-01-27 17:01:47+02:00,Completed-Closed,Peter,Org line C,1-515873671,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Mathieu-Org line C,2011-04-13 02:08:38+03:00,Accepted-In Progress,Mathieu,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mathieu-Org line C,2011-04-13 02:10:31+03:00,Queued-Awaiting Assignment,Mathieu,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Queued-Awaiting Assignment,complete,Pranesh-Org line C,2011-04-15 19:44:49+03:00,Queued-Awaiting Assignment,Pranesh,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Queued-Awaiting Assignment,complete,Stefan-Org line C,2011-07-06 17:43:11+03:00,Queued-Awaiting Assignment,Stefan,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Santosh-Org line C,2011-07-06 17:43:12+03:00,Accepted-In Progress,Santosh,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Pranesh-Org line C,2011-07-06 17:55:39+03:00,Accepted-In Progress,Pranesh,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Santosh-Org line C,2011-07-06 17:55:50+03:00,Accepted-In Progress,Santosh,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Queued-Awaiting Assignment,complete,Rajesh Kumar-Org line C,2011-07-06 18:01:51+03:00,Queued-Awaiting Assignment,Rajesh Kumar,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Rajesh Kumar-Org line C,2011-08-11 11:40:13+03:00,Accepted-In Progress,Rajesh Kumar,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-Assigned,complete,Andres-Org line C,2011-08-11 12:15:33+03:00,Accepted-Assigned,Andres,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Rajesh Kumar-Org line C,2012-01-11 09:12:14+02:00,Accepted-In Progress,Rajesh Kumar,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-Assigned,complete,Andres-Org line C,2012-03-14 07:21:35+02:00,Accepted-Assigned,Andres,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Rajesh Kumar-Org line C,2012-03-16 16:45:10+02:00,Accepted-In Progress,Rajesh Kumar,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Completed-Closed,complete,Rajesh Kumar-Org line C,2012-03-16 16:47:56+02:00,Completed-Closed,Rajesh Kumar,Org line C,1-516141293,Variant 157,157,Fluxicon Disco
Accepted-In Progress,complete,Gustav-Org line G4,2011-04-14 14:59:47+03:00,Accepted-In Progress,Gustav,Org line G4,1-516860557,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Gustav-Org line G4,2012-02-21 16:31:53+02:00,Accepted-In Progress,Gustav,Org line G4,1-516860557,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Gustav-Org line G4,2012-02-21 16:31:54+02:00,Completed-Closed,Gustav,Org line G4,1-516860557,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-14 16:36:04+03:00,Accepted-In Progress,Carolyn,Org line G3,1-517002080,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-14 16:38:58+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-517002080,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-14 18:10:44+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-517002080,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-14 18:10:49+03:00,Accepted-Assigned,Carolyn,Org line G3,1-517002080,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 14:06:42+02:00,Accepted-In Progress,Ewa,Org line G3,1-517002080,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 14:07:11+02:00,Completed-Closed,Ewa,Org line G3,1-517002080,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-14 17:22:45+03:00,Accepted-In Progress,Carolyn,Org line G3,1-517045062,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-14 17:25:33+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-517045062,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-14 18:12:55+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-517045062,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-14 18:13:02+03:00,Accepted-Assigned,Carolyn,Org line G3,1-517045062,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 22:50:24+02:00,Accepted-In Progress,Ewa,Org line G3,1-517045062,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 22:52:53+02:00,Completed-Closed,Ewa,Org line G3,1-517045062,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-15 15:31:45+03:00,Accepted-In Progress,Carolyn,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-15 15:41:10+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-15 16:22:16+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-15 16:22:22+03:00,Accepted-Assigned,Carolyn,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-04-22 13:40:38+03:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Y-Org line A2,2011-04-22 13:42:25+03:00,Accepted-Assigned,Y,Org line A2,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Jayalakshmi-Org line A2,2011-04-25 15:43:59+03:00,Accepted-Assigned,Jayalakshmi,Org line A2,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-Wait,complete,Jayalakshmi-Org line A2,2011-04-27 16:29:01+03:00,Accepted-Wait,Jayalakshmi,Org line A2,1-517399487,Variant 56,56,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-29 10:42:18+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-29 14:44:42+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-29 14:44:49+03:00,Accepted-Assigned,Carolyn,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-06 22:54:11+02:00,Accepted-In Progress,Ewa,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-06 23:07:41+02:00,Completed-Closed,Ewa,Org line G3,1-517399487,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-15 16:00:31+03:00,Accepted-In Progress,Carolyn,Org line G3,1-517490964,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-15 16:04:07+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-517490964,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-15 16:17:08+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-517490964,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-15 16:17:14+03:00,Accepted-Assigned,Carolyn,Org line G3,1-517490964,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-02 23:21:43+02:00,Accepted-In Progress,Ewa,Org line G3,1-517490964,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-02 23:24:48+02:00,Completed-Closed,Ewa,Org line G3,1-517490964,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-18 12:16:21+03:00,Accepted-In Progress,Carolyn,Org line G3,1-517828743,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-18 13:54:06+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-517828743,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-18 14:19:38+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-517828743,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-18 14:19:46+03:00,Accepted-Assigned,Carolyn,Org line G3,1-517828743,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 13:58:22+02:00,Accepted-In Progress,Ewa,Org line G3,1-517828743,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 13:58:41+02:00,Completed-Closed,Ewa,Org line G3,1-517828743,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-19 10:09:38+03:00,Accepted-In Progress,Carolyn,Org line G3,1-518362551,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-19 10:14:20+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-518362551,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-19 12:45:54+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-518362551,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-19 12:46:02+03:00,Accepted-Assigned,Carolyn,Org line G3,1-518362551,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-13 13:27:01+02:00,Accepted-In Progress,Ewa,Org line G3,1-518362551,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-13 13:27:18+02:00,Completed-Closed,Ewa,Org line G3,1-518362551,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Gilles-Org line C,2011-04-20 13:22:30+03:00,Accepted-In Progress,Gilles,Org line C,1-519020627,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Gilles-Org line C,2012-04-18 16:18:29+03:00,Completed-Closed,Gilles,Org line C,1-519020627,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Anil-Org line A2,2011-04-20 15:17:23+03:00,Accepted-In Progress,Anil,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Accepted-In Progress,complete,Anil-Org line A2,2011-04-20 15:37:02+03:00,Accepted-In Progress,Anil,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Queued-Awaiting Assignment,complete,Linda-Org line A2,2011-04-20 15:38:15+03:00,Queued-Awaiting Assignment,Linda,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Accepted-In Progress,complete,Linda-Org line A2,2011-04-29 09:36:38+03:00,Accepted-In Progress,Linda,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Accepted-In Progress,complete,Anil-Org line A2,2011-05-04 09:00:48+03:00,Accepted-In Progress,Anil,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Queued-Awaiting Assignment,complete,Linda-Org line A2,2011-05-04 09:02:37+03:00,Queued-Awaiting Assignment,Linda,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Accepted-In Progress,complete,Linda-Org line A2,2011-05-04 12:08:13+03:00,Accepted-In Progress,Linda,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Accepted-Wait,complete,Linda-Org line A2,2012-01-04 15:48:10+02:00,Accepted-Wait,Linda,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Completed-Closed,complete,Linda-Org line A2,2012-04-13 11:18:02+03:00,Completed-Closed,Linda,Org line A2,1-519065883,Variant 158,158,Fluxicon Disco
Accepted-In Progress,complete,Johan-Org line C,2011-04-20 15:59:00+03:00,Accepted-In Progress,Johan,Org line C,1-519054737,Variant 47,47,Fluxicon Disco
Accepted-In Progress,complete,Johan-Org line C,2011-10-03 18:52:11+03:00,Accepted-In Progress,Johan,Org line C,1-519054737,Variant 47,47,Fluxicon Disco
Accepted-In Progress,complete,Erik-Org line C,2012-02-09 10:51:19+02:00,Accepted-In Progress,Erik,Org line C,1-519054737,Variant 47,47,Fluxicon Disco
Accepted-Wait,complete,Erik-Org line C,2012-02-14 10:42:28+02:00,Accepted-Wait,Erik,Org line C,1-519054737,Variant 47,47,Fluxicon Disco
Completed-Closed,complete,Erik-Org line C,2012-04-20 12:41:33+03:00,Completed-Closed,Erik,Org line C,1-519054737,Variant 47,47,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-04-20 16:18:07+03:00,Accepted-In Progress,Carolyn,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-20 16:21:54+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-21 13:19:11+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-21 13:19:25+03:00,Accepted-Assigned,Carolyn,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-04-22 13:39:46+03:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Y-Org line A2,2011-04-22 13:42:02+03:00,Accepted-Assigned,Y,Org line A2,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Jayalakshmi-Org line A2,2011-04-25 15:44:07+03:00,Accepted-Assigned,Jayalakshmi,Org line A2,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-Wait,complete,Jayalakshmi-Org line A2,2011-04-27 16:28:55+03:00,Accepted-Wait,Jayalakshmi,Org line A2,1-519085985,Variant 56,56,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-04-29 10:42:30+03:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2011-04-29 14:42:45+03:00,Accepted-In Progress,Padmanabha,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-04-29 14:42:52+03:00,Accepted-Assigned,Carolyn,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-06 22:47:09+02:00,Accepted-In Progress,Ewa,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-06 22:48:29+02:00,Completed-Closed,Ewa,Org line G3,1-519085985,Variant 56,56,Fluxicon Disco
Accepted-In Progress,complete,Linda-Org line A2,2011-04-20 18:02:07+03:00,Accepted-In Progress,Linda,Org line A2,1-519147007,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Linda-Org line A2,2011-04-20 18:28:45+03:00,Queued-Awaiting Assignment,Linda,Org line A2,1-519147007,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Linda-Org line A2,2011-04-29 09:37:01+03:00,Accepted-In Progress,Linda,Org line A2,1-519147007,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Linda-Org line A2,2012-04-04 18:31:01+03:00,Completed-Closed,Linda,Org line A2,1-519147007,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Valdir-Org line B,2011-04-20 18:10:15+03:00,Accepted-In Progress,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Accepted-Wait,complete,Valdir-Org line B,2011-09-14 22:29:16+03:00,Accepted-Wait,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Queued-Awaiting Assignment,complete,Valdir-Org line B,2011-10-03 22:47:28+03:00,Queued-Awaiting Assignment,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Accepted-In Progress,complete,Valdir-Org line B,2011-10-04 21:03:49+03:00,Accepted-In Progress,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Completed-Closed,complete,Valdir-Org line B,2011-10-04 21:04:39+03:00,Completed-Closed,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Accepted-In Progress,complete,Antonio-Org line B,2011-10-06 15:59:22+03:00,Accepted-In Progress,Antonio,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Queued-Awaiting Assignment,complete,Sandro-Org line A2,2011-10-06 16:24:07+03:00,Queued-Awaiting Assignment,Sandro,Org line A2,1-519167681,Variant 159,159,Fluxicon Disco
Accepted-In Progress,complete,Paulo-Org line A2,2011-10-06 16:45:21+03:00,Accepted-In Progress,Paulo,Org line A2,1-519167681,Variant 159,159,Fluxicon Disco
Queued-Awaiting Assignment,complete,Valdir-Org line B,2011-10-06 16:51:34+03:00,Queued-Awaiting Assignment,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
Accepted-In Progress,complete,Valdir-Org line B,2011-10-18 19:29:33+03:00,Accepted-In Progress,Valdir,Org line B,1-519167681,Variant 159,159,Fluxicon Disco
